Auction,Age,Make,Color,WheelType,Odo,Size,MMRAauction,MMRAretail,BadBuy
MANHEIM,2,DODGE,SILVER,Covers,49798,MEDIUM,8268,9429,0
MANHEIM,5,DODGE,MAROON,Alloy,56944,MEDIUMSUV,6872,7922,1
MANHEIM,6,CHEVROLET,GREEN,Alloy,81710,MEDIUMSUV,7658,8771,0
MANHEIM,5,FORD,SILVER,Alloy,69901,MEDIUMSUV,6764,7805,0
MANHEIM,3,FORD,BLACK,Alloy,61753,MEDIUM,7333,8420,1
MANHEIM,4,PONTIAC,GREY,Covers,94198,MEDIUM,3952,4768,0
MANHEIM,5,PONTIAC,WHITE,Alloy,88818,LARGE,5096,8418,0
MANHEIM,7,VOLKSWAGEN,BLUE,Alloy,80673,COMPACT,4662,5535,1
OTHER,3,CHEVROLET,GREY,Covers,59388,LARGE,8000,11382,0
MANHEIM,4,JEEP,WHITE,Alloy,68447,SMALLSUV,10233,13321,0
MANHEIM,3,DODGE,SILVER,Alloy,77203,MEDIUMSUV,9373,10623,0
MANHEIM,4,DODGE,WHITE,Alloy,70120,VAN,5022,5924,0
MANHEIM,6,CHEVROLET,MAROON,Alloy,89320,MEDIUMSUV,5645,6597,0
ADESA,4,SATURN,BLACK,Covers,78319,MEDIUMSUV,5646,6598,1
OTHER,1,DODGE,SILVER,Covers,41423,MEDIUM,7760,8881,0
OTHER,4,DODGE,GREY,Alloy,76745,VAN,8159,11773,1
ADESA,5,PONTIAC,GREEN,Alloy,69064,LARGE,5179,6093,1
OTHER,4,CHEVROLET,BLUE,NULL,49092,MEDIUM,5634,6585,1
ADESA,3,CHRYSLER,BLUE,Covers,74646,CROSSOVER,8525,9707,0
MANHEIM,2,KIA,WHITE,Covers,67610,MEDIUM,6710,9991,0
MANHEIM,7,DODGE,OTHER,NULL,76955,VAN,3261,4022,1
MANHEIM,2,SATURN,BLACK,Alloy,56925,MEDIUM,6820,7866,0
MANHEIM,6,OLDSMOBILE,SILVER,Alloy,62716,MEDIUM,2560,3265,1
OTHER,2,DODGE,BLUE,Alloy,81685,VAN,10492,11831,0
OTHER,5,CHEVROLET,BLACK,Alloy,79802,MEDIUMSUV,7174,12406,0
MANHEIM,4,FORD,GREY,Alloy,80212,MEDIUM,4699,8051,0
MANHEIM,3,KIA,WHITE,Covers,56495,MEDIUM,5329,6255,0
ADESA,5,SATURN,SILVER,Covers,72910,MEDIUM,4091,7384,1
MANHEIM,5,GMC,RED,Alloy,79663,MEDIUMSUV,7359,8448,0
OTHER,1,DODGE,SILVER,Covers,48432,MEDIUM,8817,10022,0
MANHEIM,3,HYUNDAI,SILVER,Alloy,66733,MEDIUM,7031,8093,1
ADESA,3,DODGE,BLUE,Covers,84771,VAN,6108,7097,0
OTHER,1,DODGE,BEIGE,Covers,42821,MEDIUM,7541,8644,0
MANHEIM,8,FORD,GREY,Alloy,62617,COMPACT,2823,5601,0
MANHEIM,3,CHRYSLER,BLUE,Covers,45958,MEDIUM,5803,6767,0
OTHER,6,PONTIAC,BLACK,Covers,80043,LARGE,3899,7454,1
MANHEIM,4,FORD,GREEN,Covers,67537,COMPACT,4788,8622,1
MANHEIM,4,DODGE,GREY,Covers,83006,VAN,5022,5924,0
MANHEIM,5,CHEVROLET,WHITE,Covers,75979,MEDIUM,5743,9042,1
ADESA,5,CHRYSLER,BLUE,Covers,52957,MEDIUM,4102,8012,0
MANHEIM,1,CHEVROLET,SILVER,Covers,79859,MEDIUM,8018,9159,1
ADESA,5,DODGE,WHITE,Covers,81050,MEDIUM,5150,7852,1
MANHEIM,8,JEEP,GREEN,Alloy,88779,SMALLSUV,5747,8848,1
ADESA,3,CHEVROLET,BLUE,Alloy,70495,LARGE,7524,8626,1
ADESA,7,BUICK,SILVER,Alloy,79255,LARGE,4123,4953,0
MANHEIM,8,JEEP,WHITE,Alloy,88654,SMALLSUV,5015,8059,0
ADESA,5,JEEP,GOLD,Alloy,63066,SMALLSUV,7478,10778,0
MANHEIM,6,FORD,SILVER,Alloy,83772,MEDIUM,2795,6052,1
MANHEIM,5,DODGE,GREY,Alloy,61963,COMPACT,3211,6411,1
OTHER,2,CHRYSLER,SILVER,Covers,62076,MEDIUM,6304,9583,1
ADESA,5,PONTIAC,GOLD,Covers,70607,MEDIUM,3142,3893,0
OTHER,8,HONDA,GOLD,Alloy,86840,MEDIUM,5308,8419,1
MANHEIM,4,FORD,BLACK,Alloy,65533,LARGE,6124,7114,1
MANHEIM,8,CHEVROLET,WHITE,NULL,81480,COMPACT,1336,1943,1
MANHEIM,3,CHEVROLET,BLACK,Alloy,78079,MEDIUM,9515,13130,1
MANHEIM,3,CHEVROLET,BROWN,Covers,89643,LARGE,8005,11527,1
MANHEIM,4,DODGE,BLACK,Alloy,73976,MEDIUMSUV,10188,11503,1
MANHEIM,4,LEXUS,SILVER,Alloy,42686,SPECIALTY,20156,24797,1
OTHER,4,CHEVROLET,WHITE,Covers,88867,COMPACT,4356,5204,0
ADESA,4,CHEVROLET,SILVER,Alloy,71957,MEDIUM,5308,6233,0
MANHEIM,3,CHRYSLER,SILVER,Covers,50676,MEDIUM,4984,5883,0
MANHEIM,5,NISSAN,SILVER,Covers,72349,MEDIUM,5523,8767,0
ADESA,5,DODGE,WHITE,Alloy,89330,COMPACT,3323,7103,1
OTHER,6,DODGE,BLACK,Covers,89178,LARGETRUCK,9456,13444,0
MANHEIM,3,CHEVROLET,GOLD,Covers,80963,MEDIUM,6311,7316,0
MANHEIM,6,SATURN,WHITE,Covers,63640,MEDIUM,3385,4156,0
MANHEIM,9,FORD,PURPLE,Alloy,93333,VAN,2424,5281,0
OTHER,3,CHEVROLET,SILVER,NULL,91323,MEDIUMSUV,14256,18657,1
OTHER,1,CHEVROLET,RED,NULL,81675,LARGE,9684,13931,1
MANHEIM,7,SATURN,SILVER,Covers,69767,COMPACT,2919,3653,1
ADESA,6,DODGE,BLACK,NULL,87902,MEDIUM,2298,2982,1
ADESA,4,FORD,RED,Covers,53229,MEDIUM,3702,4498,0
ADESA,2,JEEP,WHITE,Alloy,81858,SMALLSUV,9737,11016,0
ADESA,6,SATURN,BLACK,NULL,39390,MEDIUMSUV,3944,4760,1
MANHEIM,6,FORD,SILVER,Alloy,71966,MEDIUM,2326,3012,0
MANHEIM,5,CHEVROLET,GREEN,Alloy,74617,MEDIUMSUV,9167,13189,0
OTHER,2,CHEVROLET,BLUE,Covers,71055,VAN,0,0,0
MANHEIM,3,CHEVROLET,WHITE,Covers,86560,LARGE,6482,7501,1
OTHER,6,CHRYSLER,BLUE,Alloy,87013,MEDIUM,3029,3771,0
MANHEIM,6,CHEVROLET,GREY,Alloy,95158,MEDIUMSUV,6819,10073,0
ADESA,2,CHEVROLET,WHITE,Covers,67468,COMPACT,6670,7704,1
MANHEIM,5,FORD,SILVER,Alloy,73640,LARGESUV,8539,9722,1
OTHER,5,DODGE,BLUE,Alloy,90530,MEDIUMSUV,9760,13620,0
MANHEIM,4,FORD,SILVER,Alloy,77117,SPORTS,8491,9670,1
MANHEIM,3,CHEVROLET,GREEN,Covers,71225,MEDIUM,6284,7287,0
OTHER,7,PONTIAC,BEIGE,Alloy,88023,LARGE,1999,2659,1
MANHEIM,5,HYUNDAI,MAROON,Alloy,79743,MEDIUMSUV,5226,6144,1
OTHER,8,NISSAN,SILVER,Special,73178,MEDIUMSUV,4380,7014,1
OTHER,7,MAZDA,WHITE,Alloy,98820,VAN,2876,6515,0
MANHEIM,6,FORD,GOLD,Alloy,90414,COMPACT,3005,3745,1
MANHEIM,6,MERCURY,RED,Alloy,66294,MEDIUMSUV,4988,5887,1
MANHEIM,3,CHEVROLET,WHITE,Alloy,82769,LARGETRUCK,11679,16050,1
MANHEIM,3,CHEVROLET,BLACK,Covers,62951,MEDIUM,7290,11099,0
ADESA,3,FORD,MAROON,Covers,57259,MEDIUM,5335,9168,1
MANHEIM,3,FORD,GREY,Covers,57863,COMPACT,6496,10029,1
OTHER,3,FORD,SILVER,Alloy,76060,LARGE,7260,11640,0
OTHER,4,CHEVROLET,WHITE,NULL,68749,MEDIUMSUV,7723,8841,1
MANHEIM,3,DODGE,BLUE,Alloy,64213,VAN,6324,7330,0
MANHEIM,8,CHEVROLET,WHITE,Covers,97424,LARGE,2991,5958,1
MANHEIM,6,FORD,GREY,Alloy,78044,SMALLSUV,4639,5510,1
OTHER,2,CHEVROLET,WHITE,NULL,80298,LARGE,8393,12589,1
MANHEIM,7,CHEVROLET,SILVER,Alloy,71092,LARGE,3152,3904,0
MANHEIM,4,CHEVROLET,MAROON,Covers,67403,MEDIUM,5962,9250,0
MANHEIM,7,BUICK,GOLD,Covers,78200,MEDIUM,3158,3911,0
OTHER,4,FORD,BLUE,Alloy,75646,CROSSOVER,7659,11904,1
OTHER,4,DODGE,WHITE,Covers,68667,SPECIALTY,6695,7731,0
MANHEIM,3,CHEVROLET,RED,Covers,60676,COMPACT,4041,4864,1
ADESA,5,JEEP,BLUE,Alloy,60747,SMALLSUV,6550,7574,1
OTHER,7,PONTIAC,SILVER,Alloy,89974,MEDIUM,3483,6530,0
MANHEIM,3,CHEVROLET,SILVER,Covers,68239,MEDIUM,6814,10178,1
MANHEIM,6,FORD,BROWN,Alloy,74341,MEDIUM,2688,3403,1
MANHEIM,3,CHRYSLER,BLACK,Covers,64737,MEDIUM,5483,8800,0
OTHER,2,DODGE,GREY,Covers,51951,MEDIUM,8860,12248,0
MANHEIM,5,KIA,WHITE,Covers,83281,MEDIUM,3096,6518,0
MANHEIM,2,FORD,GREY,Alloy,64881,MEDIUM,10277,11599,0
MANHEIM,4,CHRYSLER,SILVER,NULL,49736,MEDIUM,4259,5100,1
MANHEIM,4,CHRYSLER,BLUE,Alloy,76269,MEDIUM,5123,6033,1
ADESA,3,DODGE,WHITE,Covers,57690,VAN,7265,11409,0
MANHEIM,6,FORD,WHITE,Alloy,74648,LARGESUV,5537,6480,1
MANHEIM,2,DODGE,BLACK,Covers,79368,MEDIUM,8516,12430,1
MANHEIM,5,DODGE,GREEN,Covers,82698,MEDIUM,3375,6616,1
MANHEIM,4,DODGE,WHITE,Alloy,77226,MEDIUMSUV,9556,13815,1
ADESA,3,CHRYSLER,WHITE,Covers,56476,MEDIUM,7332,11655,0
MANHEIM,3,CHEVROLET,SILVER,Covers,54277,MEDIUM,7415,8508,0
MANHEIM,3,CHEVROLET,GREY,Covers,77443,MEDIUM,8554,11986,0
OTHER,4,FORD,SILVER,Covers,85947,MEDIUM,3911,4724,0
OTHER,7,HYUNDAI,BLUE,Alloy,61866,MEDIUM,3569,6496,0
OTHER,4,CHEVROLET,WHITE,Alloy,80613,MEDIUMSUV,9809,13492,0
MANHEIM,7,DODGE,BLUE,Alloy,108273,MEDIUMSUV,3758,6963,0
MANHEIM,2,PONTIAC,WHITE,Alloy,52082,MEDIUM,8578,9764,0
ADESA,3,SUZUKI,GOLD,Covers,64856,MEDIUM,5432,8539,0
MANHEIM,4,JEEP,BLUE,Alloy,69117,MEDIUMSUV,9175,10409,0
MANHEIM,6,CHEVROLET,BLUE,Alloy,97952,LARGETRUCK,8963,12708,0
ADESA,5,CHEVROLET,BLUE,Alloy,69408,LARGE,3798,7157,0
MANHEIM,8,FORD,YELLOW,Alloy,85161,COMPACT,1973,2631,1
ADESA,4,FORD,GREEN,NULL,98416,MEDIUM,3684,4479,1
ADESA,6,MITSUBISHI,BEIGE,Covers,75924,COMPACT,3013,3754,0
ADESA,4,PONTIAC,GREY,NULL,63420,MEDIUM,6434,9939,1
ADESA,2,KIA,SILVER,Covers,57296,MEDIUM,4824,5710,1
MANHEIM,5,NISSAN,GOLD,Alloy,85326,COMPACT,4278,7790,1
MANHEIM,4,KIA,GREY,Covers,55050,MEDIUM,4475,7413,0
MANHEIM,6,CHRYSLER,BLUE,Covers,85195,MEDIUM,3876,4686,0
OTHER,1,DODGE,WHITE,Covers,48127,MEDIUM,6955,8011,0
MANHEIM,3,CHEVROLET,BLACK,Covers,85187,MEDIUMSUV,8296,9460,1
MANHEIM,7,DODGE,BLACK,Alloy,90246,COMPACT,2396,5389,1
MANHEIM,5,GMC,GREY,Alloy,75763,MEDIUMSUV,5626,9020,1
MANHEIM,3,CHEVROLET,BEIGE,Alloy,89446,LARGE,8174,11826,1
MANHEIM,5,JEEP,GOLD,Alloy,66619,SMALLSUV,4828,5714,1
MANHEIM,5,BUICK,WHITE,Alloy,83693,LARGE,7545,11315,1
MANHEIM,3,DODGE,GOLD,Alloy,89914,MEDIUM,4356,5204,1
ADESA,8,FORD,WHITE,NULL,97178,LARGESUV,4345,7793,1
MANHEIM,5,SATURN,GREEN,Alloy,68797,MEDIUMSUV,4758,8163,0
MANHEIM,4,CHEVROLET,WHITE,Covers,64185,LARGE,7170,10863,1
MANHEIM,3,FORD,RED,Alloy,89279,MEDIUM,10393,13954,1
MANHEIM,6,FORD,GREEN,Covers,85192,VAN,2641,3352,0
MANHEIM,5,CHEVROLET,SILVER,Alloy,80096,MEDIUM,4606,8166,0
MANHEIM,4,CHEVROLET,WHITE,Alloy,92279,MEDIUMSUV,9183,13135,1
ADESA,4,DODGE,WHITE,Covers,83151,MEDIUM,4191,5026,0
OTHER,1,PONTIAC,RED,Alloy,50341,MEDIUM,9380,10630,0
OTHER,2,DODGE,BLACK,Covers,48347,MEDIUM,7811,11114,0
MANHEIM,6,CHRYSLER,GREY,Alloy,85349,MEDIUM,4100,7536,1
OTHER,9,HYUNDAI,GREY,NULL,46275,LARGE,2024,4572,1
MANHEIM,5,HYUNDAI,SILVER,Alloy,76313,COMPACT,2057,2722,1
MANHEIM,6,FORD,MAROON,Alloy,76588,MEDIUM,3300,6669,0
MANHEIM,5,FORD,RED,Alloy,83775,MEDIUM,3775,4577,1
ADESA,4,DODGE,BLACK,Covers,82130,SPECIALTY,6918,10609,0
MANHEIM,4,CHEVROLET,MAROON,Covers,84456,LARGE,6691,10245,0
MANHEIM,3,CHEVROLET,WHITE,Alloy,49461,MEDIUM,6311,7316,0
MANHEIM,5,KIA,BLACK,Covers,78229,MEDIUM,3968,7385,0
MANHEIM,6,MERCURY,SILVER,Alloy,74267,VAN,4357,8024,1
MANHEIM,2,DODGE,SILVER,Covers,84678,MEDIUMSUV,10584,11931,0
MANHEIM,1,CHRYSLER,BLACK,Covers,66834,MEDIUM,8319,13387,1
MANHEIM,4,JEEP,GOLD,Alloy,68048,MEDIUMSUV,9572,10838,1
OTHER,1,CHRYSLER,SILVER,Covers,36483,MEDIUM,7127,10855,0
MANHEIM,1,PONTIAC,SILVER,Alloy,75660,MEDIUM,9760,11041,0
MANHEIM,5,DODGE,GOLD,Covers,69588,MEDIUMSUV,7078,8144,0
OTHER,8,FORD,BLUE,Alloy,85516,COMPACT,2919,5485,1
MANHEIM,2,CHEVROLET,GREY,Covers,73515,VAN,7616,11299,0
MANHEIM,4,KIA,BLUE,Covers,55105,MEDIUM,5768,9019,1
ADESA,2,DODGE,ORANGE,Covers,45225,MEDIUM,7389,11511,0
OTHER,1,CHRYSLER,RED,Covers,49108,MEDIUM,8168,9321,0
OTHER,3,CHEVROLET,GREEN,Alloy,92088,MEDIUMSUV,12951,14487,0
MANHEIM,2,DODGE,SILVER,Covers,75157,MEDIUM,7446,8542,1
MANHEIM,4,FORD,BEIGE,Alloy,87495,LARGESUV,10691,12046,0
MANHEIM,6,BUICK,BLACK,Covers,69553,MEDIUMSUV,4664,8218,0
MANHEIM,5,CHEVROLET,SILVER,Covers,81490,MEDIUMSUV,6381,10022,0
OTHER,1,DODGE,WHITE,NULL,51121,MEDIUM,8560,9745,1
MANHEIM,4,PONTIAC,GREY,Alloy,87108,LARGE,7025,8087,1
MANHEIM,2,DODGE,WHITE,Covers,57322,MEDIUM,7230,11377,0
MANHEIM,3,CHEVROLET,BLACK,Alloy,84591,LARGE,7217,8294,1
MANHEIM,4,PONTIAC,BLUE,Alloy,87882,LARGE,5543,8755,0
ADESA,7,HYUNDAI,GOLD,Covers,62462,MEDIUM,2054,2718,1
MANHEIM,5,DODGE,BLUE,Alloy,52806,VAN,4528,5390,0
OTHER,5,FORD,WHITE,NULL,93319,MEDIUM,4000,7374,1
MANHEIM,3,CHRYSLER,RED,Covers,50202,MEDIUM,4990,9050,0
MANHEIM,4,FORD,RED,Covers,85440,COMPACT,3740,4539,1
OTHER,4,KIA,SILVER,Covers,70472,MEDIUM,4853,8536,0
MANHEIM,5,DODGE,GREEN,Covers,43268,MEDIUM,5372,8938,1
OTHER,4,DODGE,BLACK,Alloy,76231,MEDIUMSUV,9153,10385,0
MANHEIM,5,DODGE,GREY,Covers,52214,MEDIUM,5920,9306,0
MANHEIM,5,SATURN,WHITE,Alloy,69850,MEDIUM,3362,4131,0
MANHEIM,7,LINCOLN,GOLD,Alloy,94895,MEDIUMSUV,6663,10431,1
OTHER,3,CHEVROLET,GREY,Covers,42774,LARGE,7987,11505,0
ADESA,1,FORD,BLACK,Alloy,62846,MEDIUM,11510,16310,1
MANHEIM,3,SUZUKI,SILVER,Covers,53338,MEDIUM,4492,5351,1
OTHER,6,CHEVROLET,BLUE,Covers,82219,COMPACT,2605,5523,0
OTHER,2,SUZUKI,BLUE,Covers,39358,MEDIUM,6292,9550,0
MANHEIM,9,FORD,GOLD,Alloy,97124,LARGETRUCK,4876,7718,0
ADESA,6,PONTIAC,SILVER,Covers,94902,LARGE,3611,6376,0
MANHEIM,4,DODGE,SILVER,Alloy,86372,LARGETRUCK,9445,10701,0
MANHEIM,4,SUZUKI,GOLD,Covers,45311,MEDIUM,3752,7179,0
MANHEIM,3,FORD,WHITE,Alloy,65695,MEDIUM,8618,13016,1
MANHEIM,6,PONTIAC,GREY,Alloy,54615,LARGE,2366,5291,0
MANHEIM,6,DODGE,SILVER,Covers,85416,MEDIUM,3375,6033,1
MANHEIM,3,FORD,MAROON,Alloy,89779,CROSSOVER,14382,16033,0
MANHEIM,9,FORD,MAROON,Alloy,73165,MEDIUMSUV,2326,5136,0
MANHEIM,3,CHRYSLER,SILVER,Covers,71150,VAN,6586,10403,0
MANHEIM,3,SUZUKI,SILVER,Covers,47303,MEDIUM,4240,5079,1
ADESA,6,SATURN,RED,Covers,89335,MEDIUM,2379,6062,1
ADESA,4,DODGE,BEIGE,Alloy,76912,LARGETRUCK,9339,10586,0
MANHEIM,5,FORD,GREY,Covers,73709,LARGETRUCK,5593,9594,0
MANHEIM,7,MAZDA,WHITE,Alloy,71043,MEDIUM,4466,7672,0
MANHEIM,4,DODGE,SILVER,Alloy,79712,MEDIUMSUV,8134,12215,0
MANHEIM,6,JEEP,BLACK,Alloy,87224,MEDIUMSUV,6350,10020,0
MANHEIM,3,PONTIAC,SILVER,Alloy,83657,VAN,7790,8913,0
MANHEIM,2,SUZUKI,WHITE,Covers,59163,MEDIUM,4873,5763,1
ADESA,5,PONTIAC,RED,Covers,77580,MEDIUM,4028,4850,1
MANHEIM,6,KIA,BLUE,Covers,72190,MEDIUM,2961,5809,1
OTHER,6,HYUNDAI,GREEN,Covers,87233,MEDIUM,2853,3581,1
ADESA,6,DODGE,WHITE,NULL,90330,LARGETRUCK,11150,15024,1
ADESA,3,SATURN,BLUE,Alloy,47555,MEDIUM,8875,12354,1
ADESA,5,MAZDA,BEIGE,Alloy,93161,SMALLSUV,4781,8555,0
MANHEIM,5,CHEVROLET,GREY,Alloy,78504,LARGETRUCK,4830,5716,1
MANHEIM,4,SUZUKI,RED,Covers,80608,MEDIUM,3665,6814,1
ADESA,5,CHRYSLER,BLACK,NULL,58141,MEDIUM,4224,8149,1
OTHER,2,CHEVROLET,SILVER,Covers,63218,COMPACT,6245,9874,0
MANHEIM,7,TOYOTA,WHITE,Alloy,88540,VAN,5135,6046,0
OTHER,8,PONTIAC,GREY,Covers,55638,MEDIUM,2397,4797,0
OTHER,5,FORD,MAROON,Alloy,70567,MEDIUM,4252,8676,0
MANHEIM,3,DODGE,BLACK,Alloy,70748,MEDIUM,7458,11283,1
OTHER,1,CHRYSLER,RED,NULL,45466,MEDIUM,7960,9097,1
OTHER,3,KIA,BLUE,NULL,60948,MEDIUM,6209,9762,1
OTHER,5,JEEP,SILVER,Alloy,77391,SMALLSUV,5552,6496,1
MANHEIM,2,KIA,WHITE,Covers,56297,MEDIUM,7023,10175,1
MANHEIM,3,HYUNDAI,GREY,Alloy,63748,MEDIUM,6680,7714,0
MANHEIM,6,CHRYSLER,GOLD,Alloy,68055,LARGE,2856,3584,1
MANHEIM,4,FORD,BLACK,Alloy,74674,CROSSOVER,8011,12101,1
ADESA,5,FORD,BLACK,NULL,78406,MEDIUMSUV,6841,10286,1
MANHEIM,8,FORD,GREEN,Alloy,91775,MEDIUM,2491,5220,1
ADESA,7,FORD,GREEN,Alloy,82985,VAN,3645,4437,1
MANHEIM,6,CHRYSLER,SILVER,Covers,62928,MEDIUM,2933,3668,0
ADESA,3,PONTIAC,NOTAVAIL,NULL,50486,MEDIUMSUV,9763,11044,1
MANHEIM,3,DODGE,BLUE,Covers,72920,MEDIUM,6531,10165,1
ADESA,4,CHRYSLER,SILVER,Covers,45948,MEDIUM,5377,8618,0
ADESA,5,CHRYSLER,BLACK,Covers,92243,MEDIUM,3355,6401,1
MANHEIM,7,DODGE,BLUE,Covers,78058,VAN,2507,3208,1
MANHEIM,5,CHRYSLER,WHITE,Covers,90190,MEDIUM,3360,4129,1
MANHEIM,9,FORD,RED,Alloy,95775,SMALLTRUCK,2475,5445,1
MANHEIM,7,BUICK,SILVER,NULL,82738,LARGE,4126,4956,0
MANHEIM,5,FORD,GOLD,Alloy,87436,SMALLSUV,7446,8542,0
ADESA,3,CHEVROLET,BLACK,Covers,86471,LARGE,7422,10121,0
MANHEIM,4,CHRYSLER,GREY,Alloy,66557,MEDIUM,7348,8436,0
MANHEIM,6,FORD,BLACK,Covers,51610,COMPACT,2223,2901,1
MANHEIM,5,NISSAN,SILVER,Alloy,83806,LARGE,7840,12207,1
MANHEIM,2,CHEVROLET,BLACK,Covers,89787,LARGE,7760,11759,1
ADESA,4,CHRYSLER,BLUE,Alloy,74403,CROSSOVER,12322,16908,0
MANHEIM,3,CHEVROLET,BLUE,Covers,83079,LARGE,7524,8626,0
MANHEIM,5,NISSAN,GREY,Alloy,83074,MEDIUM,6059,9423,1
ADESA,5,JEEP,GREY,Alloy,88098,MEDIUMSUV,11140,15132,0
MANHEIM,6,CHEVROLET,WHITE,Alloy,78971,LARGESUV,7077,11870,1
OTHER,5,FORD,WHITE,NULL,58754,MEDIUM,4360,7528,1
OTHER,5,MAZDA,GREY,NULL,74559,MEDIUM,6166,9787,1
MANHEIM,4,CHEVROLET,WHITE,Covers,74456,MEDIUMSUV,7309,8394,1
ADESA,6,FORD,RED,Alloy,74413,LARGESUV,7057,8122,0
OTHER,4,DODGE,BLACK,Alloy,74656,LARGETRUCK,10279,14752,0
MANHEIM,2,CHEVROLET,BLUE,Covers,70018,COMPACT,6839,9854,1
ADESA,6,PONTIAC,WHITE,NULL,86685,VAN,3077,3823,1
MANHEIM,3,FORD,BLUE,Alloy,92890,LARGETRUCK,15313,20737,1
OTHER,3,PONTIAC,SILVER,NULL,66340,MEDIUM,9258,12741,1
MANHEIM,4,NISSAN,BLUE,Alloy,70277,COMPACT,5886,8788,1
MANHEIM,6,FORD,RED,Alloy,87542,SMALLSUV,5409,6342,1
OTHER,5,DODGE,SILVER,Covers,83954,COMPACT,2578,3284,1
MANHEIM,5,CHRYSLER,BLUE,Covers,76150,CROSSOVER,6269,7509,1
MANHEIM,3,CHEVROLET,GREY,Covers,80049,LARGE,8012,11396,0
ADESA,6,DODGE,BLUE,Alloy,75135,MEDIUMSUV,3944,4760,0
ADESA,5,FORD,BLUE,Covers,93102,VAN,3094,3842,1
ADESA,5,PONTIAC,WHITE,Covers,78925,LARGE,5362,8381,1
OTHER,8,HONDA,GREY,NULL,76184,SMALLSUV,6607,8229,1
MANHEIM,8,BUICK,SILVER,Covers,54831,MEDIUM,2737,3456,1
MANHEIM,7,CHRYSLER,BLACK,Alloy,73472,MEDIUM,3492,4271,1
MANHEIM,4,CHEVROLET,RED,Alloy,86001,LARGESUV,11232,12631,0
ADESA,4,FORD,GOLD,NULL,62050,COMPACT,4327,5173,1
OTHER,3,CHEVROLET,WHITE,Covers,74112,LARGE,8052,11583,0
ADESA,4,CHEVROLET,SILVER,NULL,78986,VAN,4800,9480,1
ADESA,5,FORD,WHITE,Covers,89121,VAN,4041,4864,1
OTHER,5,CHEVROLET,RED,Alloy,94107,VAN,4400,8260,0
MANHEIM,7,MERCURY,BEIGE,Covers,69988,MEDIUM,2955,5984,1
MANHEIM,6,FORD,BLUE,Alloy,85108,SMALLTRUCK,4257,7454,0
ADESA,3,SATURN,RED,Alloy,82246,MEDIUM,6635,10899,0
MANHEIM,5,DODGE,WHITE,Covers,86212,VAN,4942,8206,0
MANHEIM,5,PONTIAC,SILVER,Alloy,86887,LARGE,4830,8422,1
OTHER,7,DODGE,GREY,Alloy,47975,LARGETRUCK,6077,10131,1
ADESA,6,MAZDA,GREEN,Alloy,74868,SMALLSUV,4671,7575,0
ADESA,4,DODGE,BLUE,Covers,82068,MEDIUMSUV,9117,10346,0
MANHEIM,4,PONTIAC,GREY,Covers,71814,LARGE,5500,6440,0
ADESA,3,FORD,BLUE,Alloy,52164,COMPACT,5569,6515,0
MANHEIM,1,CHRYSLER,BLUE,Covers,48711,MEDIUM,7258,8339,0
MANHEIM,7,FORD,WHITE,Alloy,77434,MEDIUMSUV,5846,9066,1
ADESA,7,NISSAN,BEIGE,Covers,65822,COMPACT,2793,3516,1
ADESA,6,CHEVROLET,GREEN,NULL,75708,MEDIUM,3331,4097,1
ADESA,3,DODGE,RED,Alloy,62143,MEDIUM,5440,6375,0
MANHEIM,6,FORD,SILVER,Alloy,85047,MEDIUMSUV,7017,11080,0
MANHEIM,8,FORD,RED,Alloy,78417,COMPACT,1559,2184,1
OTHER,4,DODGE,GREEN,Alloy,85515,MEDIUM,5036,7739,1
MANHEIM,4,CHRYSLER,SILVER,Covers,57925,MEDIUM,4090,4917,1
OTHER,6,PONTIAC,WHITE,NULL,75713,MEDIUM,3295,6377,1
ADESA,4,FORD,BLUE,Alloy,45003,SPORTS,8322,12357,1
MANHEIM,4,CHRYSLER,GREEN,Alloy,61467,MEDIUM,4960,8874,1
OTHER,5,CHRYSLER,BLUE,Alloy,81399,CROSSOVER,5998,9502,0
MANHEIM,4,DODGE,GREY,Covers,77088,SPECIALTY,8934,13277,1
ADESA,9,FORD,BLACK,Alloy,67082,MEDIUM,2679,5246,1
ADESA,4,PONTIAC,SILVER,Covers,72913,MEDIUM,5234,8622,1
ADESA,5,FORD,BEIGE,Covers,77187,MEDIUM,3925,7045,0
MANHEIM,3,CHRYSLER,BLACK,Alloy,75243,MEDIUM,5427,6361,0
MANHEIM,3,FORD,BLACK,Covers,60723,MEDIUM,9049,12720,1
OTHER,3,CHEVROLET,WHITE,NULL,87682,MEDIUMSUV,9460,10717,1
ADESA,9,FORD,GOLD,Alloy,66433,COMPACT,2295,4778,0
OTHER,5,KIA,SILVER,Alloy,54800,COMPACT,2002,4394,1
ADESA,5,FORD,BROWN,NULL,86574,COMPACT,4990,8168,1
MANHEIM,6,DODGE,GREY,Covers,62368,MEDIUMSUV,7880,11255,1
ADESA,5,CHRYSLER,RED,NULL,68324,MEDIUM,4400,8065,1
ADESA,2,CHEVROLET,PURPLE,Alloy,74312,MEDIUMSUV,9505,14376,1
OTHER,3,CHEVROLET,GOLD,Alloy,46816,MEDIUM,6018,9561,1
MANHEIM,5,HYUNDAI,BLACK,Covers,48680,COMPACT,2888,6048,1
OTHER,4,DODGE,BLACK,Covers,54899,VAN,4104,4932,1
ADESA,4,CHEVROLET,GOLD,Alloy,64047,LARGETRUCK,0,0,0
